Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /data-stats,8,0,31000.0,28002.05937986175,931.9620840251446,44050.12983299093,164.0,0.06748336020814066,0.0,32000,35000,40000,40000,44000,44000,44000,44000,44000,44000,44000
GET,GET /health,40,0,2100.0,2411.8572583494824,415.4768339940347,5154.357332969084,207.225,0.3374168010407033,0.0,2300,2600,3300,3900,4400,4700,5200,5200,5200,5200,5200
POST,POST /predict,210,0,10000.0,10262.829787099534,2426.5322500141338,17469.461916014552,252.40952380952382,1.7714382054636926,0.0,10000,11000,11000,12000,12000,14000,14000,15000,17000,17000,17000
POST,POST /predict [heavy],285,0,10000.0,9956.636589057049,2154.8404170316644,17622.156666999217,252.2982456140351,2.404094707415011,0.0,10000,11000,11000,12000,13000,13000,15000,16000,18000,18000,18000
,Aggregated,543,0,9900.0,9785.131581114245,415.4768339940347,44050.12983299093,247.72007366482504,4.580433074127548,0.0,9900,11000,11000,12000,13000,14000,17000,23000,44000,44000,44000
