Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /data-stats,80,0,1500.0,1537.7171292006096,104.1139590088278,2431.452915945556,164.0,0.6698275596723702,0.0,1500,1700,1900,1900,2200,2300,2400,2400,2400,2400,2400
GET,GET /health,156,0,93,106.64063643101447,10.615999985020608,382.4340829742141,205.33333333333334,1.3061637413611218,0.0,94,120,140,160,190,230,290,310,380,380,380
POST,POST /predict,777,0,1900.0,1947.9007378230747,1159.6850829664618,5789.9919169722125,251.54440154440155,6.505700173317895,0.0,1900,2000,2100,2200,2300,2500,2700,2700,5800,5800,5800
POST,POST /predict [heavy],1513,0,1900.0,1928.3232320512793,896.1110830423422,3197.843457979616,251.66556510244547,12.668113722303701,0.0,1900,2000,2100,2200,2300,2400,2600,2700,3100,3200,3200
,Aggregated,2526,0,1900.0,1809.47158867831,10.615999985020608,5789.9919169722125,245.99049881235155,21.149805196655088,0.0,1900,2000,2100,2100,2300,2400,2600,2700,3100,5800,5800
