Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /data-stats,62,0,4800.0,4920.305938211142,2192.7382499561645,7361.151207995135,164.0,0.5192205798651046,0.0,4800,5400,5800,6000,6600,6800,7100,7400,7400,7400,7400
GET,GET /health,125,0,180.0,204.9556693197228,9.091833955608308,560.0633749854751,206.496,1.0468156852119046,0.0,180,240,300,340,400,470,560,560,560,560,560
POST,POST /predict,627,2,2500.0,2517.818095604035,97.79312502359971,4629.1506250272505,251.35406698564594,5.250827477022913,0.016749050963390473,2500,2700,2800,2900,3100,3300,3500,3700,4600,4600,4600
POST,POST /predict [heavy],1146,0,2600.0,2534.9755415590935,218.61425001407042,4582.301958987955,251.68673647469458,9.59720620202274,0.0,2600,2700,2900,2900,3100,3300,3500,3600,3900,4600,4600
,Aggregated,1960,2,2500.0,2456.343032349238,9.091833955608308,7361.151207995135,245.92448979591836,16.414069944122662,0.016749050963390473,2500,2700,2900,2900,3200,3500,4600,5700,7100,7400,7400
