Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /data-stats,79,0,1600.0,1789.690276403039,260.90483396546915,6367.657458002213,164.0,0.6622430630946866,0.0,1600,1800,2000,2000,2700,5100,5600,6400,6400,6400,6400
GET,GET /health,184,0,92,114.76024341992225,2.3580420529469848,608.6841250071302,206.5108695652174,1.5424395393597765,0.0,92,120,160,170,230,290,400,550,610,610,610
POST,POST /predict,853,0,1600.0,1617.3682705278002,203.92579096369445,3475.0214999658056,251.84056271981243,7.15054851670592,0.0,1600,1700,1700,1800,2000,2400,2900,3100,3500,3500,3500
POST,POST /predict [heavy],1839,0,1500.0,1585.563368832837,233.88300003716722,3572.4148339941166,251.51930396954867,15.416012570014288,0.0,1500,1600,1700,1800,2000,2400,2700,3000,3500,3600,3600
,Aggregated,2955,0,1500.0,1508.6184726459896,2.3580420529469848,6367.657458002213,246.46971235194584,24.77124368917467,0.0,1500,1600,1700,1800,2000,2400,2900,3000,5200,6400,6400
